Customer_ID,Age,Gender,Annual_Income,Spending_Score,Transaction_Amount,Transaction_Frequency,Web_Activity,Product_Views,Time_on_Website
CUST_1,56,Female,132107.282137077,98.7845165838671,1091.53160245297,22,64.5822386286484,22,8.16822807417816
CUST_2,69,Male,143437.681075493,43.3495402398504,487.615632045607,28,63.6902317454743,44,38.4437161327554
CUST_3,46,Male,39119.5525207749,39.0483380688085,127.956544371219,14,34.0604166581292,4,35.3464846470901
CUST_4,32,Female,140456.391270994,68.2850809866139,3213.4377872119,27,7.1711888847651,30,7.98648731137998
CUST_5,60,Male,83975.11810034,22.6071348986413,3039.39924008302,41,40.9628894895232,40,13.5017654959664
CUST_6,25,Male,53571.7704788646,95.0461572110723,2738.02008944321,40,31.1217495063394,5,19.3491471892281
CUST_7,38,Female,79687.648310974,78.8481564271397,1167.41600961872,28,67.7120639735009,36,10.8489331782326
CUST_8,56,Male,147404.234787112,9.85168922891369,1960.62091956852,26,60.577924945269,9,15.3800394689362
CUST_9,36,Male,84040.352219073,42.3404968027079,2976.436912579,49,36.459372819754,39,16.7884471328407
CUST_10,40,Male,62737.7093373761,88.0327124486543,2488.86662570726,2,21.789255425499,6,20.8047561493045
CUST_11,28,Female,102342.111061174,94.5284702068496,4939.04974587229,25,98.8035966155592,38,45.2140367152684
CUST_12,28,Female,51218.9304411651,47.2727496137371,690.834365258098,3,45.4001621196115,37,34.7428200271854
CUST_13,41,Female,29862.2326541263,61.7277275318601,3478.77132469749,8,68.8274235780237,20,59.1885536451327
CUST_14,53,Male,36754.3638483844,17.5363606631155,2027.55065284042,44,14.0552967578361,19,25.4694137910808
CUST_15,57,Male,36645.9590645104,99.1256939875607,2146.71607847882,33,48.5589699659398,2,45.4780393563786
CUST_16,41,Female,39747.3501565983,23.9354984369609,3590.8128506343,42,2.75367198694655,21,52.4166368612155
CUST_17,20,Male,38047.5324444233,94.3304456393775,3465.2563951086,35,50.545511791045,46,41.0597310892445
CUST_18,39,Male,103313.716824418,65.3150182502445,4956.36740857392,6,96.4017407117702,3,25.3000196846323
CUST_19,19,Female,43644.4109718888,61.1659426930071,650.687504376085,39,38.42067129858,27,45.4620832139994
CUST_20,41,Female,64936.7468321022,51.7561625906343,529.50715042699,23,3.89960125749116,11,13.0163611285884
CUST_21,61,Male,136582.493287782,23.8363113600581,3624.45069747242,25,3.09557909193435,37,20.3255777456278
CUST_22,47,Male,81615.0132341734,18.4762751685453,2896.15071586198,43,38.7986759946869,35,33.254430050858
CUST_23,55,Male,106782.506007734,22.8281346979474,1378.06172613343,19,16.0024936463194,46,34.9491538498827
CUST_24,19,Female,42401.5832562119,19.4573879522812,406.302651255043,5,2.33520963281859,40,2.30634705288514
CUST_25,38,Female,44997.5724451272,78.1788628831086,437.434665486188,11,75.6213613950177,4,56.7617371366045
CUST_26,50,Female,25312.9201146423,35.6624006575063,4472.01246457395,12,45.8523008881891,12,42.101009001826
CUST_27,29,Female,41961.5581993814,6.72642497977624,967.417950346527,10,28.9244771972655,22,30.2465212636816
CUST_28,39,Male,56216.7440741546,96.9411603839403,1623.62409495645,8,90.0083183016481,49,56.0545068300902
CUST_29,61,Female,43011.3629559771,88.4948026113791,1141.01544711267,24,11.6138960200526,29,26.9066383497989
CUST_30,42,Female,31531.3293884172,92.8474760363261,1781.43156610137,28,95.5918828955319,36,58.8456986459519
CUST_31,66,Female,35682.6632430781,99.4958744419971,356.424975303006,41,31.3966717377353,24,31.2248006773656
CUST_32,44,Female,79901.2398442544,18.2156296727292,2600.10835663227,36,88.8403672308681,47,7.74286042988079
CUST_33,59,Female,46823.383392753,40.2279598713632,347.386692325152,37,60.2942876479462,26,46.1232573750974
CUST_34,45,Male,67355.0819362498,76.065609094705,4003.77897403358,21,82.6707359741488,13,41.0549657795926
CUST_35,33,Male,85444.2452111314,69.9060411873254,1176.22328873306,8,98.4013163210464,47,46.6062165570296
CUST_36,32,Female,109751.327721817,16.2356947276457,2704.65945387651,9,28.8405437818746,46,57.1350796948152
CUST_37,64,Male,25110.5781793429,81.7674793740712,4401.59464693168,47,96.1135485407593,35,46.8128688564101
CUST_38,68,Female,123923.351858176,23.2196166118294,3257.8780715455,15,38.948189490242,38,37.0688595307822
CUST_39,61,Female,101627.050633818,23.1579438674397,2669.45935489116,48,38.5511904736922,15,51.5812252392896
